sensorId,lat,lon,boxName,boxId,unit,temperatur_2018-12-31T23Z,temperatur_2019-01-01T00Z,temperatur_2019-01-01T01Z,temperatur_2019-01-01T02Z,temperatur_2019-01-01T03Z,temperatur_2019-01-01T04Z,temperatur_2019-01-01T05Z,temperatur_2019-01-01T06Z,temperatur_2019-01-01T07Z,temperatur_2019-01-01T08Z,temperatur_2019-01-01T09Z,temperatur_2019-01-01T10Z,temperatur_2019-01-01T11Z,temperatur_2019-01-01T12Z,temperatur_2019-01-01T13Z,temperatur_2019-01-01T14Z,temperatur_2019-01-01T15Z,temperatur_2019-01-01T16Z,temperatur_2019-01-01T17Z,temperatur_2019-01-01T18Z,temperatur_2019-01-01T19Z,temperatur_2019-01-01T20Z,temperatur_2019-01-01T21Z,temperatur_2019-01-01T22Z,temperatur_2019-01-01T23Z,temperatur_2019-01-02T00Z
5a30ea5375a96c000f012fe7,51.951978,7.628977,Münster Süd,5a30ea5375a96c000f012fe0,°C,9.455333333333334,8.874166666666667,8.644666666666666,8.661,8.654166666666667,8.689166666666667,8.687333333333333,8.667499999999999,8.378166666666667,8.416,8.777166666666666,9.352666666666666,9.663166666666665,11.273833333333332,10.401333333333334,9.427333333333333,8.2905,7.161666666666666,7.126666666666667,6.7655,6.375666666666667,6.440333333333333,6.230833333333334,6.113166666666667,6.012833333333333,5.9635
5a687677411a79001944413a,51.959126,7.605076,AFO Uni Münster,5a687677411a790019444133,°C,9.621666666666666,9.136666666666667,8.804333333333334,8.845333333333334,8.923166666666667,8.986833333333333,9.029333333333334,8.981833333333332,8.684166666666666,8.690166666666666,9.040833333333333,9.517333333333333,9.8165,10.642666666666667,10.515333333333333,9.514999999999999,8.381499999999999,7.156000000000001,7.171666666666667,6.824166666666667,6.584666666666666,6.600666666666667,6.429166666666666,6.3155,6.2165,6.148666666666667
5ab3dd50850005001bd25b5a,51.972139,7.642386,Wetterfuchs home,5ab3dd50850005001bd25b55,°C,,9.196363636363635,,,,,8.987380952380951,8.947619047619048,8.573902439024389,8.573333333333332,8.938095238095238,9.36560975609756,9.637857142857143,10.355238095238096,9.74952380952381,9.402439024390244,8.26452380952381,7.331666666666667,7.304146341463414,6.929024390243902,6.381190476190476,6.487619047619048,6.330487804878049,6.269285714285714,,
5abd221b850005001b1aff37,51.973023,7.64153,Feinstaub_MS_PIUSALLEE,5abd221b850005001b1aff35,°C,17.670833333333334,17.4375,17.279166666666665,17.658333333333335,17.7625,17.770833333333332,17.7625,17.741666666666667,17.733333333333334,17.57916666666667,18.029166666666665,18.354166666666668,18.266666666666666,18.741666666666667,18.283333333333335,18.108333333333334,18.087500000000002,17.55,17.4875,17.462500000000002,17.325,17.291666666666668,17.145833333333332,17.083333333333332,17.016666666666666,16.895833333333332
5ac9be65c4edec00190439f1,51.976309,7.626046,PGKN FS01 - Schule,5ac9be65c4edec00190439ef,°C,9,8.566666666666666,8.291666666666666,8.3,8.369565217391305,8.42,8.466666666666667,8.425,8.04782608695652,7.992000000000001,8.358333333333333,8.941666666666666,9.291666666666666,9.987499999999999,9.316666666666666,8.887500000000001,7.516666666666667,6.1499999999999995,6.233333333333333,5.970833333333334,5.295833333333333,5.595833333333334,5.408333333333334,5.416666666666667,5.420833333333333,5.333333333333333
5ac9edb1c4edec00190b2147,51.980717,7.65084,PGKN FS02 - Rumphorst,5ac9edb1c4edec00190b2145,°C,9.147368421052633,8.75,8.523076923076923,8.485714285714286,8.483333333333333,8.536363636363637,8.52,8.492857142857144,8.238888888888887,8.18235294117647,8.61578947368421,9.136363636363637,9.64,10.523809523809524,9.453571428571427,8.966666666666667,7.375,5.928571428571429,6.058333333333334,5.791666666666667,5.095000000000001,5,5.185714285714285,5.134782608695652,5.232142857142857,5.068965517241379
5acfae2a223bd8001977b620,51.988501,7.646677,PGKN FS03,5acfae2a223bd8001977b61e,°C,7.920833333333333,7.629166666666666,7.425000000000001,7.388000000000001,7.416666666666667,7.533333333333334,7.5125,7.545833333333333,7.254166666666666,7.228,7.533333333333334,7.958333333333333,8.225,8.995833333333334,8.312,7.895833333333333,6.558333333333334,5.608333333333333,5.5874999999999995,5.291666666666667,4.729166666666667,4.8625,4.704000000000001,4.713043478260869,4.670833333333333,4.558333333333334
5ae36a64223bd80019734631,51.973884,7.615585,PGKN FS07,5ae36a64223bd8001973462f,°C,11.341666666666667,11.058333333333332,10.767999999999999,10.6625,10.6,10.625,10.675999999999998,10.608333333333333,10.529166666666667,10.396,10.441666666666666,10.795833333333334,11.145833333333334,11.444,11.508333333333333,11.216666666666667,10.995833333333332,9.908333333333333,9.671999999999999,9.370833333333334,9.079166666666667,9.029166666666667,8.9125,8.708,8.5375,8.5
5b2689841fef04001b7af54c,51.966853,7.661677,Euglers Wetterstation,5b2689841fef04001b7af54a,°C,8.747272727272726,8.26,7.945454545454545,7.901818181818182,7.9399999999999995,8.02,8.045454545454545,8.049090909090909,7.7407407407407405,7.721818181818182,8.07090909090909,8.505454545454546,8.8,9.896363636363635,9.05,8.6,7.489090909090908,6.501818181818182,6.365454545454546,6.03888888888889,5.547272727272727,5.6490909090909085,5.456363636363637,5.385454545454545,5.289090909090909,5.209090909090909
5b3e7f6f5dc1ec001be11cf4,51.994149,7.569078,U6B GTÜ SSH Bölling & Partner,5b3e7f6f5dc1ec001be11cf1,°C,8.0825,7.822500000000001,7.603333333333333,7.609583333333333,7.9004166666666675,8.09125,7.93,7.920800000000001,7.543913043478261,7.610416666666667,7.956666666666667,8.501666666666667,8.782083333333334,9.325833333333334,9.042083333333332,8.857916666666666,6.859583333333333,5.729583333333333,6.01875,5.442083333333334,5.051666666666667,5.303333333333334,5.066666666666666,4.97375,5.085,4.773333333333333
5b69c0bb9c135100199dd682,51.961585,7.582503,Deipen4_A,5b69c0bb9c135100199dd67c,°C,8.474666666666668,8.208333333333334,7.9775,7.8693333333333335,7.777,7.759166666666667,7.721500000000001,7.6505,7.588852459016394,7.585666666666667,7.677333333333333,7.960166666666667,8.132833333333332,8.392999999999999,8.381166666666667,7.909833333333334,6.942881355932204,5.772333333333333,5.651166666666667,5.2283333333333335,4.9995,4.9915,4.762333333333333,4.576499999999999,4.4885,4.465999999999999
5be58bb6cdfcd0001c1bff06,51.951764,7.627666,Holzbox,5be58bb6cdfcd0001c1bfeff,°C,7.92,7.392166666666666,7.145833333333333,7.087666666666666,7.1415,7.2219999999999995,7.207,7.194500000000001,6.867666666666667,6.877,7.2396666666666665,7.795,8.136333333333333,8.309666666666667,8.263,7.7175,6.762666666666666,5.608965517241379,5.593166666666666,5.195333333333334,4.775666666666667,4.863666666666666,4.673,4.515,4.420333333333334,4.41
5bfc8dba3e34fc00196a3f8d,51.975688,7.569811,Feinstaubsensor,5bfc8dba3e34fc00196a3f8b,°C,9.061538461538461,8.975,8.754166666666666,8.733333333333333,8.670833333333333,8.6,8.583333333333334,8.5,8.4,8.18125,8.375,8.475,8.620833333333332,8.883333333333333,9.008333333333333,8.433333333333334,7.8374999999999995,7.047826086956522,,,,,,,,
